MUNICIPIO;Anno;Residenti
1;1999;105991
1;2000;105518
1;2001;105883
1;2002;104833
1;2003;98368
1;2004;99382
1;2005;99447
1;2006;98328
1;2007;97556
1;2008;96939
1;2009;96789
1;2010;97231
1;2011;97632
1;2012;98354
1;2013;96315
1;2014;95725
1;2015;96254
1;2016;96791
1;2017;97403
1;2018;98531
1;2019;99518
1;2020;98594
1;2021;97897
1;2022;98297
2;1999;137491
2;2000;138356
2;2001;139965
2;2002;138234
2;2003;131834
2;2004;136609
2;2005;138523
2;2006;138540
2;2007;138398
2;2008;138062
2;2009;140955
2;2010;144301
2;2011;148840
2;2012;154026
2;2013;153109
2;2014;152908
2;2015;155016
2;2016;156864
2;2017;159134
2;2018;162090
2;2019;163049
2;2020;161339
2;2021;160873
2;2022;161789
3;1999;145895
3;2000;145774
3;2001;145753
3;2002;143363
3;2003;136053
3;2004;138925
3;2005;139795
3;2006;138795
3;2007;137860
3;2008;137752
3;2009;138687
3;2010;139897
3;2011;141060
3;2012;142945
3;2013;141229
3;2014;139936
3;2015;140524
3;2016;141073
3;2017;142939
3;2018;144110
3;2019;144544
3;2020;143636
3;2021;142726
3;2022;143589
4;1999;153738
4;2000;154079
4;2001;154458
4;2002;152851
4;2003;146245
4;2004;148901
4;2005;149879
4;2006;149158
4;2007;148749
4;2008;148374
4;2009;150315
4;2010;152259
4;2011;155140
4;2012;157620
4;2013;156369
4;2014;156449
4;2015;157425
4;2016;158360
4;2017;159750
4;2018;161551
4;2019;162287
4;2020;161243
4;2021;160679
4;2022;162125
5;1999;120162
5;2000;120475
5;2001;120560
5;2002;119572
5;2003;115701
5;2004;117926
5;2005;118882
5;2006;118324
5;2007;117629
5;2008;117531
5;2009;118532
5;2010;119900
5;2011;121531
5;2012;124533
5;2013;123779
5;2014;122785
5;2015;123436
5;2016;124328
5;2017;124903
5;2018;126089
5;2019;126947
5;2020;125333
5;2021;124094
5;2022;124887
6;1999;153891
6;2000;153395
6;2001;152960
6;2002;151110
6;2003;145192
6;2004;146945
6;2005;147131
6;2006;146465
6;2007;145835
6;2008;144860
6;2009;145276
6;2010;146606
6;2011;148505
6;2012;150336
6;2013;149000
6;2014;148721
6;2015;149334
6;2016;149655
6;2017;150356
6;2018;151298
6;2019;152130
6;2020;150830
6;2021;150159
6;2022;150792
7;1999;173592
7;2000;173499
7;2001;174017
7;2002;172159
7;2003;165650
7;2004;168552
7;2005;169275
7;2006;168663
7;2007;167799
7;2008;166655
7;2009;167416
7;2010;168899
7;2011;170859
7;2012;173153
7;2013;170814
7;2014;170839
7;2015;171796
7;2016;172911
7;2017;173643
7;2018;175465
7;2019;176873
7;2020;174944
7;2021;173791
7;2022;175316
8;1999;180226
8;2000;180090
8;2001;180297
8;2002;178429
8;2003;172214
8;2004;175332
8;2005;176698
8;2006;176269
8;2007;175890
8;2008;175767
8;2009;177249
8;2010;179453
8;2011;180954
8;2012;183287
8;2013;181669
8;2014;181113
8;2015;182118
8;2016;183447
8;2017;186179
8;2018;188367
8;2019;190620
8;2020;189969
8;2021;190059
8;2022;192384
9;1999;164529
9;2000;165178
9;2001;166525
9;2002;164270
9;2003;159707
9;2004;165329
9;2005;167915
9;2006;168211
9;2007;168480
9;2008;168563
9;2009;171342
9;2010;174204
9;2011;177309
9;2012;182155
9;2013;181598
9;2014;182204
9;2015;184002
9;2016;185161
9;2017;186566
9;2018;187773
9;2019;188463
9;2020;186614
9;2021;186007
9;2022;187494
